source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	medgen	gard	icd10	icd10cm	icd10pcs	icd11	icd11.code	icd9	icd9cm	icdo
doid	14521	12347	1409	772	5289	0	0	9765	6350	72	5490	2541	1561	3870	0	1352	0	2448	2749	647
mondo	12347	30384	1918	1099	7701	0	0	22634	10859	634	21457	11042	1876	3707	0	4707	0	4548	2330	801
efo	1409	1918	2108	456	1316	0	0	2597	371	28	1744	410	1119	1146	0	597	0	1343	766	96
mesh	772	1099	456	3162	553	0	0	2563	75	4	804	197	537	738	0	330	0	637	597	4
ncit	5289	7701	1316	553	21845	0	0	21963	380	36	4690	876	1406	2008	0	1180	0	1533	1523	532
orphanet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orphanet.ordo	0	0	0	0	0	0	15799	0	0	0	0	0	0	0	0	0	0	0	0	0
umls	9765	22634	2597	2563	21963	0	0	191213	13634	105	10848	2620	6188	26176	0	2937	0	3665	9562	597
omim	6350	10859	371	75	380	0	0	13634	15380	47	3306	549	217	327	0	322	0	266	224	23
omim.ps	72	634	28	4	36	0	0	105	47	610	104	40	19	34	0	35	0	20	20	0
medgen	5490	21457	1744	804	4690	0	0	10848	3306	104	21440	2264	1733	2699	0	2077	0	2598	2279	483
gard	2541	11042	410	197	876	0	0	2620	549	40	2264	6097	546	815	0	936	0	621	526	107
icd10	1561	1876	1119	537	1406	0	0	6188	217	19	1733	546	6838	4270	0	977	0	1671	2249	43
icd10cm	3870	3707	1146	738	2008	0	0	26176	327	34	2699	815	4270	21979	0	1476	0	2130	3529	88
icd10pcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd11	1352	4707	597	330	1180	0	0	2937	322	35	2077	936	977	1476	0	4636	0	1228	1120	80
icd11.code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9	2448	4548	1343	637	1533	0	0	3665	266	20	2598	621	1671	2130	0	1228	0	3993	2370	44
icd9cm	2749	2330	766	597	1523	0	0	9562	224	20	2279	526	2249	3529	0	1120	0	2370	9132	33
icdo	647	801	96	4	532	0	0	597	23	0	483	107	43	88	0	80	0	44	33	798
